gate_id,description,soft_scale_c,val_accuracy,val_correct_count,val_log_loss,val_norm_rps,val_brier,val_ece,val_draw_recall,mean_val_g,test_accuracy,test_correct_count,test_log_loss,test_norm_rps,test_brier,test_ece,test_draw_recall,mean_test_g,rescued_matches_n01,regression_matches_n10,net_gain,mcnemar_p_value
G4_Congested_Schedule_Gate,Temporal ONLY for congested matches (<4d rest),0.5,0.5952106174264281,10315,0.876429297067634,0.1725722349347955,0.5159267187155466,0.008081457448759485,0.013722554890219561,0.14697057126370455,0.5988489499192245,5931,0.8683690863983414,0.1695219932949641,0.5109250062199036,0.015264409135300298,0.010841283607979185,0.15554321486268174,36,51,-15,0.1333665417926817
G2_Close_Match_Gate,Temporal ONLY for close matches (|dElo| < 50),0.75,0.5949221004039238,10310,0.8770584434473259,0.17258739322792305,0.5162701830389217,0.008058260048263403,0.01347305389221557,0.13658395845354876,0.5990508885298869,5933,0.868939408871555,0.16948206315779998,0.5111093073969567,0.013463416076262565,0.011708586296617519,0.13055331179321486,53,66,-13,0.27131547988984805
G3_High_Volatility_Gate,Temporal ONLY for high volatility matches,0.75,0.5963646855164455,10335,0.8773178811642154,0.17260230196243323,0.516218233111361,0.00942490784295192,0.013972055888223553,0.18756491633006347,0.6026857835218093,5969,0.8694213246342359,0.16956832549225018,0.5112169890642554,0.012703500995242421,0.013009540329575022,0.19310379644588047,66,43,23,0.03509870231097134
D4_Disagreement_Congested,Temporal ONLY when Disagreement AND Congested Rest,0.75,0.5942296595499135,10298,0.8765906455248413,0.1726361072106656,0.5161247114164432,0.008177884567149034,0.01347305389221557,0.0207732256203116,0.5991518578352181,5934,0.8686568775729733,0.16957489209329213,0.5110795417688644,0.015331471002229358,0.010407632263660017,0.019840468497576737,59,71,-12,0.3346631206924193
D0_Disagreement_Only,Temporal ONLY when Champion and Temporal disagree,1.0,0.5917484131563763,10255,0.8768946170096678,0.1727815485125027,0.5163894796330654,0.011957282591538613,0.0,0.09059434506635891,0.5950121163166397,5893,0.8694754736779673,0.16987362685710058,0.5117076880803353,0.019380408780009403,0.0,0.08673263327948304,278,331,-53,0.035104896914024186
G5_Strong_Underdog_Gate,Temporal ONLY for underdogs with positive momentum,0.75,0.5956145412579342,10322,0.8779589711323194,0.17281573488952218,0.5166446055317637,0.009225650691572081,0.014471057884231538,0.21772937103289094,0.599656704361874,5939,0.8703279262277399,0.1699700107513355,0.5119688422148598,0.01861741419716993,0.012142237640936688,0.21650343295638125,44,51,-7,0.538167125969846
D4_Disagreement_Congested,Temporal ONLY when Disagreement AND Congested Rest,1.0,0.5924985574148874,10268,0.8771386862907764,0.172825436300983,0.5165252382891434,0.010500759060235263,0.01347305389221557,0.027697634160415464,0.5965266558966075,5908,0.8691739935688,0.169753971284158,0.5114655805986618,0.017914619589671717,0.010407632263660017,0.026453957996768983,72,110,-38,0.006095071611553204
G2_Close_Match_Gate,Temporal ONLY for close matches (|dElo| < 50),1.0,0.5948066935949221,10308,0.878471165732451,0.17296594987357786,0.5171953618338524,0.007381431702969775,0.01347305389221557,0.18211194460473168,0.5980411954765751,5923,0.8702229849000156,0.16981563047540313,0.5119359667937431,0.012237648879077958,0.011708586296617519,0.17407108239095315,67,90,-23,0.07912407678835909
G4_Congested_Schedule_Gate,Temporal ONLY for congested matches (<4d rest),0.75,0.5942296595499135,10298,0.8778851699091388,0.17299523298599184,0.5168527734636857,0.009381007090736408,0.01347305389221557,0.22045585689555683,0.5991518578352181,5934,0.8699011848722897,0.16996690540086035,0.5119201751744968,0.012988331679006027,0.010407632263660017,0.23331482229402262,59,71,-12,0.3346631206924193
G3_High_Volatility_Gate,Temporal ONLY for high volatility matches,1.0,0.5953837276399307,10318,0.8790533823303016,0.1730211049514195,0.5172314373916201,0.009836405338138607,0.013972055888223553,0.2500865551067513,0.6015751211631664,5958,0.8712136968598692,0.17001214598000713,0.5122891024294393,0.013967974795801861,0.013009540329575022,0.2574717285945073,79,67,12,0.36262927056263283
G5_Strong_Underdog_Gate,Temporal ONLY for underdogs with positive momentum,1.0,0.5946335833814195,10305,0.8801051031653813,0.17332139063637325,0.5178621102717369,0.009119011254350561,0.014471057884231538,0.2903058280438546,0.598546042003231,5928,0.8726829262968244,0.17055971398273578,0.5133494703123845,0.018115254727106414,0.012142237640936688,0.2886712439418417,50,68,-18,0.11758833741790686
G1_Global_Temporal,Global temporal replacement (g=1 everywhere),0.75,0.5946912867859203,10306,0.8809619637155701,0.17354597588936113,0.518474293624964,0.011717895666343936,0.0,0.75,0.5994547657512116,5937,0.8735302977196903,0.1705910840047877,0.5136546008022993,0.01601354569538388,0.0004336513443191674,0.75,222,231,-9,0.7070114711848664
G4_Congested_Schedule_Gate,Temporal ONLY for congested matches (<4d rest),1.0,0.5924985574148874,10268,0.8801130493198545,0.17363105346063967,0.5182711366566174,0.010611850830513522,0.01347305389221557,0.2939411425274091,0.5965266558966075,5908,0.872261631549435,0.17064618032885837,0.5134556039614555,0.01540020226364505,0.010407632263660017,0.3110864297253635,72,110,-38,0.006095071611553204
G1_Global_Temporal,Global temporal replacement (g=1 everywhere),1.0,0.5917484131563763,10255,0.8877415896602064,0.17531047559594454,0.5226575400536074,0.01201565793499573,0.0,1.0,0.5950121163166397,5893,0.8805280123097143,0.17242279674508246,0.5179862846464217,0.014874812046446317,0.0,1.0,278,331,-53,0.035104896914024186
