date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,gate_pred,category,gate_weight_g,champ_p_away,champ_p_draw,champ_p_home,gate_p_away,gate_p_draw,gate_p_home,elo_home,elo_away,abs_elo_diff,home_rest_days,away_rest_days,home_form5_pts,away_form5_pts,avg_volatility,is_regime_1,is_regime_2,is_regime_3,is_regime_4,is_regime_5,is_regime_6,is_regime_7,is_regime_8,is_regime_9
2024-03-22,Morocco,Angola,1,0,Friendly,Agadir,Morocco,False,0,0,0,0,A_Both_Correct,0.25,0.7591634222357778,0.17706575539104807,0.06377082237317404,0.7531655052758299,0.1795045147785121,0.06732997994565793,1850.471273772016,1576.337306240077,274.1339675319391,52.0,49.0,2.0,2.0,26.528267130562377,True,False,True,False,False,False,False,False,True
2024-03-22,Netherlands,Scotland,4,0,Friendly,Amsterdam,Netherlands,False,0,0,0,0,A_Both_Correct,0.25,0.6850363359773733,0.21388024894005267,0.10108341508257397,0.6710856061610996,0.21810786503254523,0.11080652880635516,1994.9598956745838,1772.0999839122892,222.8599117622946,60.0,60.0,2.4,0.4,30.0,False,False,False,True,True,True,False,False,True
2024-03-22,Niger,Togo,1,2,Friendly,Mohammedia,Morocco,True,2,2,2,2,A_Both_Correct,0.25,0.26725110370709737,0.3084297454721301,0.4243191508207726,0.30447875516954476,0.3056224055091118,0.3898988393213435,1341.7540392523235,1495.1056473005117,153.35160804818815,60.0,60.0,1.4,1.6,13.277479265025466,True,False,False,False,False,False,True,False,True
2024-03-22,Nigeria,Ghana,2,1,Friendly,Marrakesh,Morocco,True,0,0,0,0,A_Both_Correct,0.25,0.42941224187622734,0.2991448421995397,0.271442915924233,0.42894868354546256,0.29765156377545765,0.2733997526790798,1693.3743607325523,1644.32556396551,49.048796767042404,40.0,60.0,2.0,0.6,19.769013159972634,False,False,False,False,True,False,True,False,True
2024-03-22,North Macedonia,Moldova,1,1,Friendly,Antalya,Turkey,True,1,1,0,0,D_Both_Wrong,0.25,0.7048131224671348,0.17992861094315157,0.1152582665897137,0.7235574251204898,0.17261410288363885,0.10382847199587136,1608.5876892153692,1361.446350371164,247.14133884420517,60.0,60.0,1.4,1.0,29.534551323760844,False,False,False,False,False,True,False,False,True
2024-03-22,Senegal,Gabon,3,0,Friendly,Amiens,France,True,0,0,0,0,A_Both_Correct,0.25,0.7210343540026066,0.19632498097540674,0.08264066502198668,0.732096963213414,0.18872273593470984,0.07918030085187613,1824.4027365858215,1546.7115046771262,277.6912319086953,53.0,60.0,2.6,1.4,28.19435264595415,False,False,True,True,False,True,False,False,True
2024-03-22,Peru,Nicaragua,2,0,Friendly,Lima,Peru,False,0,0,0,0,A_Both_Correct,0.25,0.7727038871395107,0.1494546505952308,0.0778414622652586,0.7733128313711626,0.15317516478040463,0.07351200384843284,1794.6125995729358,1480.8386802647735,313.77391930816225,60.0,60.0,0.2,2.6,24.002013267027166,True,False,True,True,True,False,False,False,True
2024-03-22,Romania,Northern Ireland,1,1,Friendly,Bucharest,Romania,False,1,1,0,0,D_Both_Wrong,0.25,0.6111041331006623,0.27717159430297295,0.11172427259636468,0.6311156851113339,0.2594743815663684,0.10940993332229791,1715.9022520517274,1559.1159573945645,156.7862946571629,60.0,60.0,2.6,1.2,24.184192943099426,True,False,False,True,False,False,False,False,True
2024-03-22,Spain,Colombia,0,1,Friendly,London,England,True,2,2,0,0,D_Both_Wrong,0.25,0.44345249296859773,0.2606532388473411,0.29589426818406117,0.445924848936771,0.26912830907502666,0.2849468419882024,2051.0956882047863,2024.0226170322042,27.073071172582104,60.0,60.0,3.0,2.2,30.0,False,False,False,True,False,True,False,False,True
2024-03-22,Chad,Mauritius,1,0,African Cup of Nations qualification,Yaoundé,Cameroon,True,0,0,0,0,A_Both_Correct,0.25,0.4440682760785105,0.2635525799124532,0.2923791440090363,0.4689975830679589,0.25967084430577436,0.2713315726262667,1284.4267663776488,1255.9875910735393,28.43917530410954,60.0,60.0,0.2,1.4,30.0,False,False,False,False,True,True,False,False,True
