date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2019-07-17,Tunisia,Nigeria,0,1,African Cup of Nations,Cairo,Egypt,True,2,2,2,0,B_Regression_R4_Wrong,0.3370488527735455,0.3098788680166536,0.35307227920980083,0.37416215605376435,0.3119269980344328,0.3139108459118029
2019-09-10,Ivory Coast,Tunisia,2,1,Friendly,Rouen,France,True,0,0,0,2,B_Regression_R4_Wrong,0.34544029668732085,0.3311577301140026,0.32340197319867653,0.3218699633496026,0.29556262060719696,0.3825674160432004
2019-10-13,Seychelles,South Sudan,0,1,African Cup of Nations qualification,Victoria,Seychelles,False,2,2,2,0,B_Regression_R4_Wrong,0.25788091087525805,0.2741487740194079,0.46797031510533404,0.39670735273072283,0.25997046333582957,0.3433221839334475
2019-10-14,Ukraine,Portugal,2,1,UEFA Euro qualification,Kyiv,Ukraine,False,0,0,0,2,B_Regression_R4_Wrong,0.35206964279044195,0.3115602650549637,0.3363700921545943,0.325439932709495,0.3220457609952017,0.3525143062953032
2019-11-18,Nicaragua,Suriname,1,2,CONCACAF Nations League,Managua,Nicaragua,False,2,2,2,0,B_Regression_R4_Wrong,0.3567861628072413,0.26936470912212,0.37384912807063875,0.38554284612669554,0.29882055096757854,0.315636602905726
2019-12-08,Luhansk PR,South Ossetia,4,3,Friendly,Luhansk,Ukraine,False,0,0,0,2,B_Regression_R4_Wrong,0.5007609327087387,0.2562177891986216,0.2430212780926398,0.3914904258762277,0.21252208503620712,0.39598748908756515
2020-10-09,Nigeria,Algeria,0,1,Friendly,Klagenfurt,Austria,True,2,2,2,0,B_Regression_R4_Wrong,0.3134450130817606,0.33482148109167853,0.351733505826561,0.3450660174781937,0.32145740718512067,0.3334765753366855
2020-11-17,Uzbekistan,Iraq,1,2,Friendly,Dubai,United Arab Emirates,True,2,2,2,0,B_Regression_R4_Wrong,0.34493876668978013,0.30089563049778795,0.35416560281243187,0.3971490190499142,0.2985435676787746,0.3043074132713112
2020-11-18,Poland,Netherlands,1,2,UEFA Nations League,Chorzów,Poland,False,2,2,2,1,B_Regression_R4_Wrong,0.3106588421234653,0.33920128246203957,0.35013987541449515,0.30011215455239554,0.3521169514844378,0.34777089396316674
2021-03-28,Armenia,Iceland,2,0,FIFA World Cup qualification,Yerevan,Armenia,False,0,0,0,2,B_Regression_R4_Wrong,0.42073302410284846,0.27362456499364424,0.3056424109035073,0.29204750056133594,0.2679181190429559,0.4400343803957081
2021-07-18,South Africa,Senegal,0,0,COSAFA Cup,Port Elizabeth,South Africa,False,1,1,1,0,B_Regression_R4_Wrong,0.3339520158934592,0.3381921578515822,0.32785582625495857,0.3572522783059301,0.32548191447580177,0.3172658072182682
2021-07-20,Honduras,Qatar,0,2,Gold Cup,Houston,United States,True,2,2,2,0,B_Regression_R4_Wrong,0.3303528838241896,0.27550988737605214,0.3941372287997582,0.3743450308362643,0.2641601005254885,0.36149486863824715
2021-08-01,United States,Mexico,1,0,Gold Cup,Las Vegas,United States,False,0,0,0,1,B_Regression_R4_Wrong,0.346012908825891,0.32215308701428735,0.3318340041598216,0.33627917864821233,0.35010146116558916,0.31361936018619857
2021-09-01,Finland,Wales,0,0,Friendly,Helsinki,Finland,False,1,1,1,0,B_Regression_R4_Wrong,0.35316708022805143,0.35791788679230563,0.2889150329796428,0.35615015931058575,0.35059312423015104,0.29325671645926316
2022-01-20,Sierra Leone,Equatorial Guinea,0,1,African Cup of Nations,Limbé,Cameroon,True,2,2,2,0,B_Regression_R4_Wrong,0.31268919552013064,0.3075737477067855,0.37973705677308384,0.3587677812332937,0.29521281209318695,0.3460194066735194
2022-03-23,Laos,Mongolia,1,0,Friendly,Vientiane,Laos,False,0,0,0,2,B_Regression_R4_Wrong,0.3787039200534923,0.261948405911958,0.3593476740345497,0.34523275397565817,0.23405109268278756,0.42071615334155427
