matchup_possession_diff,matchup_directness_diff,matchup_pressing_diff,matchup_tempo_diff,matchup_width_diff,tactical_h_press_vs_a_possession,tactical_a_press_vs_h_possession,tactical_h_direct_vs_a_compact,tactical_a_direct_vs_h_compact,tactical_width_vs_backline_diff,inter_continuity_x_tactical_stab,inter_replacement_x_formation_changed,inter_star_reliance_x_possession
8.0,1.7999999999999972,43.0,-4.400000000000006,0.0,1.1700000000000002,0.46640000000000004,0.41184,0.882,-0.15000000000000002,0.49199999999999994,0.0,0.0
4.0,0.5999999999999943,15.0,-4.400000000000006,0.0,1.2544,1.0388,0.71136,0.9424800000000001,-0.15000000000000002,0.49199999999999994,0.0,0.0
-4.0,-1.2000000000000028,-27.0,2.0,0.0,0.49,0.936,0.756,0.48048,-0.30000000000000004,0.82,0.0,0.0
0.0,0.0,0.0,-2.3999999999999986,0.0,1.4688,1.4688,0.92904,0.98592,-0.30000000000000004,0.0,0.0,0.0
-7.0,-1.7999999999999972,-19.0,-1.1999999999999957,0.0,0.9288000000000001,1.1656,0.87552,0.7584,-0.7,0.0,0.0,0.0
7.0,1.7999999999999972,26.0,0.7999999999999972,0.0,1.116,0.7488,0.71136,0.9,-0.15000000000000002,0.49199999999999994,0.0,0.0
-2.0,-0.6000000000000014,1.0,-4.400000000000006,0.0,0.6392,0.5940000000000001,0.54,0.65664,-0.15000000000000002,0.0,0.0,0.0
7.0,1.1999999999999957,11.0,-3.6000000000000014,0.0,1.1092,1.0368,0.7488,0.912,-0.15000000000000002,0.656,0.0,0.0
2.0,0.0,-3.0,-1.1999999999999957,0.0,1.3356000000000001,1.4520000000000002,0.948,0.948,-0.15000000000000002,0.82,0.0,0.0
-6.0,-1.1999999999999957,-28.0,5.599999999999994,0.0,0.5724,1.034,0.8390400000000001,0.46799999999999997,-0.7,0.0,0.0,0.0
-6.0,-1.7999999999999972,-45.0,5.200000000000003,0.0,0.5088,1.2972,0.9302400000000001,0.41712,-0.7,0.0,0.0,0.0
5.0,-3.200000000000003,15.0,12.0,0.0,1.152,0.9540000000000001,1.0296,0.9,-0.15000000000000002,0.656,0.0,0.0
6.0,1.7999999999999972,18.0,-1.6000000000000014,0.0,1.2408,1.0176,0.73944,0.912,-0.15000000000000002,0.656,0.0,0.0
