match_idx,date,stage,team_home,team_away,home_elo,away_elo,actual_home_score,actual_away_score,actual_scoreline,actual_outcome,static_p_home,static_p_draw,static_p_away,static_pred_outcome,static_correct,static_log_loss,static_rps,static_brier,static_mode_scoreline,static_score_nll,static_score_hit,mds_p_home,mds_p_draw,mds_p_away,mds_pred_outcome,mds_correct,mds_log_loss,mds_rps,mds_brier,mds_mode_scoreline,mds_score_nll,mds_score_hit
80,2026-07-01,Round of 32,England,Congo DR,2050,1670,2,1,2 - 1,Home,0.498,0.2836,0.2184,Home,1,0.6972,0.1499,0.3802,1 - 1,2.3796,0,0.4983,0.2831,0.2186,Home,1,0.6965,0.1497,0.3796,1 - 1,2.3814,0
81,2026-07-01,Round of 32,Belgium,Senegal,1950,1840,3,2,3 - 2,Home,0.3581,0.3043,0.3376,Home,1,1.0269,0.263,0.6185,1 - 1,3.981,0,0.3584,0.3038,0.3377,Home,1,1.026,0.2628,0.618,1 - 1,3.9795,0
82,2026-07-01,Round of 32,USA,Bosnia and Herzegovina,1850,1645,2,0,2 - 0,Home,0.4485,0.298,0.2534,Home,1,0.8018,0.1842,0.4572,1 - 1,2.4067,0,0.4485,0.2976,0.2539,Home,1,0.8019,0.1843,0.4572,1 - 1,2.408,0
83,2026-07-02,Round of 32,Spain,Austria,2120,1830,3,0,3 - 0,Home,0.4706,0.3039,0.2255,Home,1,0.7537,0.1655,0.4234,1 - 1,3.096,0,0.4706,0.3036,0.2258,Home,1,0.7538,0.1657,0.4235,1 - 1,3.0945,0
84,2026-07-02,Round of 32,Portugal,Croatia,2010,1940,2,1,2 - 1,Home,0.4176,0.3116,0.2708,Home,1,0.8732,0.2062,0.5096,1 - 1,2.4918,0,0.4184,0.3113,0.2703,Home,1,0.8713,0.2057,0.5082,1 - 1,2.4938,0
85,2026-07-02,Round of 32,Switzerland,Algeria,1860,1760,2,0,2 - 0,Home,0.3704,0.3048,0.3248,Home,1,0.9933,0.251,0.5949,1 - 1,2.6456,0,0.3695,0.3044,0.3261,Home,1,0.9956,0.252,0.5965,1 - 1,2.6493,0
86,2026-07-03,Round of 32,Australia,Egypt,1790,1730,1,1,1 - 1,Draw,0.2872,0.3096,0.4032,Away,0,1.1726,0.1225,0.7218,1 - 1,1.9323,1,0.2881,0.3091,0.4027,Away,0,1.174,0.1226,0.7225,1 - 1,1.9343,1
87,2026-07-03,Round of 32,Argentina,Cabo Verde,2150,1640,3,2,3 - 2,Home,0.5161,0.2854,0.1986,Home,1,0.6615,0.1368,0.3551,1 - 1,3.947,0,0.5158,0.2851,0.1992,Home,1,0.6621,0.1371,0.3554,1 - 1,3.9461,0
88,2026-07-03,Round of 32,Colombia,Ghana,1990,1690,1,0,1 - 0,Home,0.423,0.3037,0.2733,Home,1,0.8604,0.2038,0.4998,1 - 1,2.1572,0,0.4226,0.3035,0.2739,Home,1,0.8614,0.2042,0.5006,1 - 1,2.1574,0
89,2026-07-04,Round of 16,Canada,Morocco,1795,1920,0,3,0 - 3,Away,0.3334,0.3094,0.3572,Away,1,1.0295,0.2622,0.6201,1 - 1,3.6078,0,0.3336,0.3089,0.3575,Away,1,1.0287,0.2621,0.6196,1 - 1,3.6039,0
90,2026-07-04,Round of 16,Paraguay,France,1725,2100,0,1,0 - 1,Away,0.2126,0.2879,0.4996,Away,1,0.694,0.1478,0.3785,1 - 1,2.0672,0,0.2129,0.2877,0.4994,Away,1,0.6943,0.148,0.3787,1 - 1,2.0674,0
91,2026-07-05,Round of 16,Mexico,England,1810,2050,2,3,2 - 3,Away,0.2824,0.3111,0.4065,Away,1,0.9002,0.216,0.5288,1 - 1,4.0692,0,0.2828,0.3107,0.4065,Away,1,0.9002,0.2161,0.5288,1 - 1,4.0689,0
92,2026-07-05,Round of 16,Brazil,Norway,2030,1775,1,2,1 - 2,Away,0.3929,0.3033,0.3038,Home,0,1.1914,0.3195,0.7311,1 - 1,2.6403,0,0.3925,0.3029,0.3046,Home,0,1.1889,0.3189,0.7295,1 - 1,2.6406,0
